App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Escape from the Aliens in Outer Space,Thematic,3.46297,3648,45,3648,Thematic,2010,Thematic,Thematic,2,8,12,1001
Yellow & Yangtze,Strategy,3.97015,1026,90,1026,Strategy,2018,Strategy,Strategy,2,4,14,1002
Rise of Tribes,Strategy,3.653165,1983,60,1983,Strategy,2018,Strategy,Strategy,2,4,10,1003
Advanced Squad Leader: Starter Kit #2,Uncategorized,3.959575,1111,180,1111,Uncategorized,2005,Uncategorized,Uncategorized,2,2,12,1004
Ubongo,Family,3.35645,7434,25,7434,Family,2003,Family,Family,1,4,8,1005
Fireball Island: The Curse of Vul-Kar,Family,3.489075,3614,60,3614,Family,2018,Family,Family,2,4,7,1006
Wings of War: Famous Aces,Uncategorized,3.42712,4584,30,4584,Uncategorized,2004,Uncategorized,Uncategorized,2,4,10,1007
The Magic Labyrinth,Family,3.41947,4552,30,4552,Family,2009,Family,Family,2,4,6,1008
Mystery Rummy: Jack the Ripper,Strategy,3.47593,3273,45,3273,Strategy,1998,Strategy,Strategy,2,4,10,1009
XenoShyft: Onslaught,Strategy,3.49287,3176,60,3176,Strategy,2015,Strategy,Strategy,1,4,13,1010
Stronghold (2nd edition),Strategy,3.781495,1386,90,1386,Strategy,2015,Strategy,Strategy,2,2,10,1011
The Reckoners,Thematic,3.92119,1201,100,1201,Thematic,2018,Thematic,Thematic,1,6,13,1012
Encore!,Family,3.514315,2802,20,2802,Family,2016,Family,Family,1,6,8,1013
Villages of Valeria,Strategy,3.547575,2608,60,2608,Strategy,2017,Strategy,Strategy,1,5,14,1014
Zombicide: Invader,Strategy,3.997125,1191,60,1191,Strategy,2019,Strategy,Strategy,1,6,14,1015
Mykerinos,Strategy,3.42811,3820,60,3820,Strategy,2006,Strategy,Strategy,2,4,10,1016
Disney Villainous: Wicked to the Core,Family,3.859865,1342,60,1342,Family,2019,Family,Family,2,3,10,1017
Axis & Allies Europe 1940,Uncategorized,3.77479,1795,360,1795,Uncategorized,2010,Uncategorized,Uncategorized,2,6,12,1018
Fallout,Thematic,3.47206,4791,180,4791,Thematic,2017,Thematic,Thematic,1,4,14,1019
Black Rose Wars,Strategy,4.07562,1204,90,1204,Strategy,2019,Strategy,Strategy,1,4,14,1020
Royals,Strategy,3.57301,2196,60,2196,Strategy,2014,Strategy,Strategy,2,5,10,1021
Cockroach Poker,Party,3.34441,7850,20,7850,Party,2004,Party,Party,2,6,8,1022
Sentient,Strategy,3.630915,1861,60,1861,Strategy,2017,Strategy,Strategy,2,4,12,1023
New Angeles,Strategy,3.58056,2367,240,2367,Strategy,2016,Strategy,Strategy,4,6,14,1024
Star Trek: Catan,Strategy,3.506125,3110,75,3110,Strategy,2012,Strategy,Strategy,3,4,10,1025
Merkator,Strategy,3.52243,2486,90,2486,Strategy,2010,Strategy,Strategy,1,4,12,1026
The Staufer Dynasty,Strategy,3.58368,2034,90,2034,Strategy,2014,Strategy,Strategy,2,5,13,1027
Starship Catan,Strategy,3.419135,4221,60,4221,Strategy,2001,Strategy,Strategy,2,2,12,1028
Insider,Party,3.543565,2387,15,2387,Party,2016,Party,Party,4,8,9,1029
Timeline: Inventions,Family,3.353355,7031,15,7031,Family,2010,Family,Family,2,8,8,1030
Welcome to the Dungeon,Family,3.311145,11069,30,11069,Family,2013,Family,Family,2,4,10,1031
Cartagena,Family,3.34336,7385,45,7385,Family,2000,Family,Family,2,5,8,1032
Room 25,Thematic,3.383115,5529,30,5529,Thematic,2013,Thematic,Thematic,1,6,13,1033
Asara,Strategy,3.512115,2590,45,2590,Strategy,2010,Strategy,Strategy,2,4,9,1034
Murano,Strategy,3.62036,1821,75,1821,Strategy,2014,Strategy,Strategy,2,4,10,1035
The Captain Is Dead,Strategy,3.597105,2247,90,2247,Strategy,2014,Strategy,Strategy,2,7,14,1036
The Starfarers of Catan,Strategy,3.406135,4943,120,4943,Strategy,1999,Strategy,Strategy,3,4,12,1037
Unlock!: Escape Adventures – The Formula,Thematic,3.535665,2350,75,2350,Thematic,2017,Thematic,Thematic,1,6,10,1038
Saboteur,Family,3.291065,24203,30,24203,Family,2004,Family,Family,3,10,8,1039
Amyitis,Strategy,3.479115,2889,120,2889,Strategy,2007,Strategy,Strategy,2,4,12,1040
The Little Prince: Make Me a Planet,Family,3.45734,3338,25,3338,Family,2013,Family,Family,2,5,8,1041
Porta Nigra,Strategy,3.60873,1876,120,1876,Strategy,2015,Strategy,Strategy,2,4,12,1042
Doom: The Boardgame,Thematic,3.427725,5000,180,5000,Thematic,2004,Thematic,Thematic,2,4,12,1043
Say Anything,Party,3.377115,5466,30,5466,Party,2008,Party,Party,3,8,13,1044
KeyForge: Age of Ascension,Uncategorized,3.789455,1410,45,1410,Uncategorized,2019,Uncategorized,Uncategorized,2,2,14,1045
Dead Man's Draw,Family,3.43191,4219,15,4219,Family,2015,Family,Family,2,4,13,1046
Ascending Empires,Strategy,3.591335,1971,75,1971,Strategy,2011,Strategy,Strategy,2,4,10,1047
De Vulgari Eloquentia,Strategy,3.61821,1848,120,1848,Strategy,2010,Strategy,Strategy,2,5,14,1048
Raccoon Tycoon,Family,3.70872,1580,90,1580,Family,2018,Family,Family,2,5,8,1049
Spot it!,Party,3.32147,11758,15,11758,Party,2009,Party,Party,2,8,7,1050
Exit: The Game – The Forgotten Island,Uncategorized,3.52403,2402,90,2402,Uncategorized,2017,Uncategorized,Uncategorized,1,4,12,1051
Betrayal at Baldur's Gate,Thematic,3.58242,2508,60,2508,Thematic,2017,Thematic,Thematic,3,6,12,1052
Wyatt Earp,Family,3.425495,3842,45,3842,Family,2001,Family,Family,2,4,8,1053
Cosmic Encounter,Strategy,3.45371,3820,90,3820,Strategy,1977,Strategy,Strategy,2,6,12,1054
Gravwell: Escape from the 9th Dimension,Family,3.45981,3188,35,3188,Family,2013,Family,Family,1,4,12,1055
Ghost Blitz,Family,3.35732,6421,20,6421,Family,2010,Family,Family,2,8,8,1056
Wallenstein (Second Edition),Strategy,3.80887,1201,120,1201,Strategy,2012,Strategy,Strategy,2,5,12,1057
TransAmerica,Family,3.3332,7580,30,7580,Family,2001,Family,Family,2,6,13,1058
Nothing Personal,Thematic,3.543985,2209,120,2209,Thematic,2013,Thematic,Thematic,3,5,8,1059
Obsession,Strategy,4.024705,1023,90,1023,Strategy,2018,Strategy,Strategy,1,4,13,1060
Valley of the Kings: Afterlife,Strategy,3.654565,1661,45,1661,Strategy,2015,Strategy,Strategy,1,4,14,1061
Le Havre: The Inland Port,Strategy,3.437145,3257,30,3257,Strategy,2012,Strategy,Strategy,2,2,10,1062
"The Hunters: German U-Boats at War, 1939-43",Uncategorized,3.8872,1256,120,1256,Uncategorized,2013,Uncategorized,Uncategorized,1,2,12,1063
Blitzkrieg!: World War Two in 20 Minutes,Strategy,3.88527,1094,45,1094,Strategy,2019,Strategy,Strategy,1,2,14,1064
Meuterer,Strategy,3.449135,3195,60,3195,Strategy,2000,Strategy,Strategy,3,4,12,1065
Löwenherz,Strategy,3.51972,2388,90,2388,Strategy,1997,Strategy,Strategy,2,4,12,1066
Qwinto,Family,3.54538,2214,15,2214,Family,2015,Family,Family,2,6,8,1067
Ecos: First Continent,Strategy,3.614735,1855,75,1855,Strategy,2019,Strategy,Strategy,2,6,14,1068
Odin's Ravens (Second Edition),Family,3.536485,2410,30,2410,Family,2016,Family,Family,2,2,10,1069
Fearsome Floors,Family,3.33123,7350,60,7350,Family,2003,Family,Family,2,7,10,1070
Dice City,Strategy,3.39436,4309,60,4309,Strategy,2015,Strategy,Strategy,1,4,14,1071
Tides of Time,Strategy,3.33805,6387,20,6387,Strategy,2015,Strategy,Strategy,2,2,8,1072
UBOOT: The Board Game,Thematic,3.935525,1363,120,1363,Thematic,2019,Thematic,Thematic,1,4,12,1073
Warrior Knights,Strategy,3.43116,3776,240,3776,Strategy,2006,Strategy,Strategy,2,6,12,1074
High Frontier,Strategy,3.70678,1488,180,1488,Strategy,2010,Strategy,Strategy,2,5,12,1075
Bausack,Family,3.4134,3809,45,3809,Family,1987,Family,Family,2,8,7,1076
Aladdin's Dragons,Strategy,3.45608,3078,90,3078,Strategy,2000,Strategy,Strategy,3,5,10,1077
Yomi,Strategy,3.495645,2847,30,2847,Strategy,2011,Strategy,Strategy,2,2,10,1078
Exit: The Game – The Polar Station,Family,3.49693,2477,90,2477,Family,2017,Family,Family,1,4,12,1079
Kahuna,Abstract,3.319505,8035,40,8035,Abstract,1998,Abstract,Abstract,2,2,10,1080
Advanced Squad Leader: Starter Kit #3,Uncategorized,4.008325,975,180,975,Uncategorized,2007,Uncategorized,Uncategorized,2,2,12,1081
Warsaw: City of Ruins,Strategy,3.681395,1513,60,1513,Strategy,2016,Strategy,Strategy,2,4,10,1082
Fantastic Factories,Uncategorized,3.73255,1401,60,1401,Uncategorized,2019,Uncategorized,Uncategorized,1,5,14,1083
Keyper,Strategy,3.67816,1517,120,1517,Strategy,2017,Strategy,Strategy,2,4,14,1084
1856: Railroading in Upper Canada from 1856,Strategy,3.768985,1223,300,1223,Strategy,1995,Strategy,Strategy,3,6,14,1085
Coffee Roaster,Strategy,3.8236,1156,30,1156,Strategy,2015,Strategy,Strategy,1,1,12,1086
Galaxy Defenders,Strategy,3.734245,1518,120,1518,Strategy,2014,Strategy,Strategy,1,5,12,1087
Patchistory,Strategy,3.578365,1975,120,1975,Strategy,2013,Strategy,Strategy,2,4,12,1088
Roma,Strategy,3.387735,4406,45,4406,Strategy,2005,Strategy,Strategy,2,2,8,1089
DC Comics Deck-Building Game: Heroes Unite,Family,3.70115,1622,45,1622,Family,2014,Family,Family,2,5,15,1090
Aton,Strategy,3.428875,3283,30,3283,Strategy,2005,Strategy,Strategy,2,2,8,1091
Haspelknecht,Strategy,3.64209,1632,90,1632,Strategy,2015,Strategy,Strategy,2,4,12,1092
Rum & Bones: Second Tide,Uncategorized,3.87601,1158,60,1158,Uncategorized,2017,Uncategorized,Uncategorized,2,6,14,1093
Exit: The Game – The Sinister Mansion,Uncategorized,3.759585,1270,90,1270,Uncategorized,2018,Uncategorized,Uncategorized,1,4,12,1094
Mascarade,Party,3.313685,8852,30,8852,Party,2013,Party,Party,2,13,10,1095
Ca$h 'n Gun$,Party,3.295845,9649,30,9649,Party,2005,Party,Party,4,6,10,1096
Balloon Cup,Family,3.343605,5614,30,5614,Family,2003,Family,Family,2,2,8,1097
Necromunda,Thematic,3.64862,1791,30,1791,Thematic,1995,Thematic,Thematic,2,4,12,1098
Outfoxed!,Family,3.591895,1977,15,1977,Family,2014,Family,Family,2,4,5,1099
Coup: Rebellion G54,Party,3.528255,2362,15,2362,Party,2014,Party,Party,3,6,14,1100
Fleet: The Dice Game,Uncategorized,3.871585,1051,45,1051,Uncategorized,2018,Uncategorized,Uncategorized,1,4,8,1101
Vampire: The Eternal Struggle,Uncategorized,3.59364,2225,120,2225,Uncategorized,1994,Uncategorized,Uncategorized,2,5,13,1102
Unearth,Strategy,3.464425,3283,60,3283,Strategy,2017,Strategy,Strategy,2,4,8,1103
Star Wars: Epic Duels,Thematic,3.495645,3031,30,3031,Thematic,2002,Thematic,Thematic,2,6,8,1104
Kremlin,Strategy,3.479565,2756,75,2756,Strategy,1986,Strategy,Strategy,3,6,12,1105
Reavers of Midgard,Strategy,3.795215,1267,120,1267,Strategy,2019,Strategy,Strategy,2,4,14,1106
Blue Moon,Strategy,3.34966,5415,30,5415,Strategy,2004,Strategy,Strategy,2,2,12,1107
Factory Fun,Strategy,3.40884,3387,45,3387,Strategy,2006,Strategy,Strategy,2,5,10,1108
Rune Age,Strategy,3.40349,4132,60,4132,Strategy,2011,Strategy,Strategy,2,4,14,1109
Kodama: The Tree Spirits,Family,3.382745,4585,30,4585,Family,2016,Family,Family,2,5,14,1110
Blokus 3D,Abstract,3.399385,3773,20,3773,Abstract,2003,Abstract,Abstract,2,4,7,1111
Barony,Strategy,3.558505,2217,45,2217,Strategy,2015,Strategy,Strategy,2,4,14,1112
Manhattan,Family,3.362795,4775,45,4775,Family,1994,Family,Family,2,4,10,1113
In the Shadow of the Emperor,Strategy,3.447985,2843,90,2843,Strategy,2004,Strategy,Strategy,2,4,12,1114
Exit: The Game – The Sunken Treasure,Uncategorized,3.588805,1822,90,1822,Uncategorized,2017,Uncategorized,Uncategorized,1,4,10,1115
Sword of Rome,Uncategorized,3.65918,1534,360,1534,Uncategorized,2004,Uncategorized,Uncategorized,2,5,12,1116
Timeline: Events,Family,3.389585,4027,15,4027,Family,2011,Family,Family,2,8,8,1117
Viral,Family,3.518455,2317,90,2317,Family,2017,Family,Family,2,5,12,1118
D-Day Dice,Thematic,3.419625,3353,45,3353,Thematic,2012,Thematic,Thematic,1,4,14,1119
Turn the Tide,Family,3.39718,3753,30,3753,Family,1997,Family,Family,3,5,10,1120
Street Masters,Thematic,4.177315,808,120,808,Thematic,2018,Thematic,Thematic,1,4,14,1121
Ascension: Immortal Heroes,Strategy,3.68777,1472,30,1472,Strategy,2012,Strategy,Strategy,1,2,13,1122
Castell,Strategy,3.748005,1247,90,1247,Strategy,2018,Strategy,Strategy,2,4,12,1123
The Castles of Burgundy: The Dice Game,Family,3.471515,2646,30,2646,Family,2017,Family,Family,1,5,10,1124
Lost Cities: The Board Game,Family,3.403305,3689,60,3689,Family,2008,Family,Family,2,4,8,1125
Doomtown: Reloaded,Uncategorized,3.588585,2106,30,2106,Uncategorized,2014,Uncategorized,Uncategorized,2,4,12,1126
Dungeons & Dragons: Temple of Elemental Evil Board Game,Thematic,3.716405,1638,60,1638,Thematic,2015,Thematic,Thematic,1,5,14,1127
The Scepter of Zavandor,Strategy,3.49125,2475,90,2475,Strategy,2004,Strategy,Strategy,2,6,10,1128
My Village,Strategy,3.495445,2381,90,2381,Strategy,2015,Strategy,Strategy,2,4,12,1129
Dragonfire,Strategy,3.66702,1910,90,1910,Strategy,2017,Strategy,Strategy,2,6,13,1130
Mü & More,Strategy,3.58318,1808,60,1808,Strategy,1995,Strategy,Strategy,2,8,11,1131
DinoGenics,Thematic,3.860455,1120,120,1120,Thematic,2019,Thematic,Thematic,1,5,14,1132
The New Era,Strategy,3.761725,1243,60,1243,Strategy,2011,Strategy,Strategy,2,5,10,1133
Traders of Osaka,Strategy,3.419935,3140,30,3140,Strategy,2006,Strategy,Strategy,2,4,12,1134
Onirim,Family,3.3367,5546,15,5546,Family,2010,Family,Family,1,2,8,1135
Nova Luna,Abstract,3.71757,1439,60,1439,Abstract,2019,Abstract,Abstract,1,4,8,1136
Pixel Tactics,Strategy,3.46668,2848,30,2848,Strategy,2012,Strategy,Strategy,2,2,12,1137
Power Grid: The First Sparks,Strategy,3.40937,3349,60,3349,Strategy,2011,Strategy,Strategy,2,6,12,1138
Blokus Trigon,Abstract,3.458385,2839,20,2839,Abstract,2006,Abstract,Abstract,2,4,7,1139
"Air, Land & Sea",Strategy,3.82201,1116,30,1116,Strategy,2018,Strategy,Strategy,2,2,14,1140
Guillotine,Family,3.267995,18927,30,18927,Family,1998,Family,Family,2,5,12,1141
Aquaretto,Family,3.49513,2423,45,2423,Family,2008,Family,Family,2,5,10,1142
Folklore: The Affliction,Thematic,3.963485,1265,120,1265,Thematic,2017,Thematic,Thematic,1,5,14,1143
Wars of the Roses: Lancaster vs. York,Strategy,3.677,1429,180,1429,Strategy,2010,Strategy,Strategy,2,4,13,1144
Omen: A Reign of War,Strategy,3.688705,1406,30,1406,Strategy,2011,Strategy,Strategy,2,2,12,1145
Medina (Second Edition),Abstract,3.62393,1591,60,1591,Abstract,2014,Abstract,Abstract,2,4,10,1146
Sleuth,Strategy,3.454415,2679,45,2679,Strategy,1971,Strategy,Strategy,3,7,10,1147
Giants,Strategy,3.491555,2387,90,2387,Strategy,2008,Strategy,Strategy,3,5,10,1148
Axis & Allies Pacific 1940,Uncategorized,3.7528,1570,360,1570,Uncategorized,2009,Uncategorized,Uncategorized,2,4,12,1149
Carolus Magnus,Strategy,3.409475,3356,60,3356,Strategy,2000,Strategy,Strategy,2,4,12,1150
Tramways,Strategy,3.73362,1240,120,1240,Strategy,2016,Strategy,Strategy,1,5,14,1151
Irish Gauge,Strategy,3.692625,1341,60,1341,Strategy,2014,Strategy,Strategy,3,5,12,1152
Olympos,Strategy,3.468035,2509,90,2509,Strategy,2011,Strategy,Strategy,2,5,10,1153
Happy Salmon,Family,3.393305,3757,2,3757,Family,2016,Family,Family,3,6,6,1154
Heroes of Terrinoth,Thematic,3.73639,1471,60,1471,Thematic,2018,Thematic,Thematic,1,4,14,1155
Codex: Card-Time Strategy – Deluxe Set,Strategy,4.044415,918,45,918,Strategy,2016,Strategy,Strategy,2,5,13,1156
Tides of Madness,Strategy,3.427485,3064,20,3064,Strategy,2016,Strategy,Strategy,2,2,10,1157
Timeline: Diversity,Family,3.39648,3627,15,3627,Family,2012,Family,Family,2,8,8,1158
Quoridor,Abstract,3.33773,6084,15,6084,Abstract,1997,Abstract,Abstract,2,4,8,1159
Ingenious: Travel Edition,Abstract,3.5492,1903,30,1903,Abstract,2006,Abstract,Abstract,2,2,10,1160
Power Struggle,Strategy,3.50087,2191,105,2191,Strategy,2009,Strategy,Strategy,3,5,12,1161
Middle-earth,Uncategorized,3.632605,1809,90,1809,Uncategorized,1995,Uncategorized,Uncategorized,1,5,12,1162
CV,Family,3.327065,5647,60,5647,Family,2013,Family,Family,2,4,10,1163
One Deck Dungeon: Forest of Shadows,Family,3.63246,1692,45,1692,Family,2017,Family,Family,1,2,14,1164
Age of Renaissance,Strategy,3.547825,2108,300,2108,Strategy,1996,Strategy,Strategy,3,6,12,1165
Men at Work,Family,3.674815,1489,45,1489,Family,2019,Family,Family,2,5,8,1166
Havana,Strategy,3.426985,2908,45,2908,Strategy,2009,Strategy,Strategy,2,4,10,1167
Masmorra: Dungeons of Arcadia,Family,3.551035,2258,90,2258,Family,2017,Family,Family,1,5,14,1168
I'm the Boss!,Strategy,3.39926,3464,60,3464,Strategy,1994,Strategy,Strategy,3,6,12,1169
Rise of Empires,Strategy,3.525485,2004,180,2004,Strategy,2009,Strategy,Strategy,2,5,12,1170
Sun Tzu,Strategy,3.527335,2051,30,2051,Strategy,2005,Strategy,Strategy,2,2,10,1171
Ad Astra,Strategy,3.434095,2837,60,2837,Strategy,2009,Strategy,Strategy,3,5,13,1172
Last Bastion,Uncategorized,3.88815,1049,45,1049,Uncategorized,2019,Uncategorized,Uncategorized,1,4,14,1173
Antike II,Strategy,3.74048,1212,120,1212,Strategy,2014,Strategy,Strategy,3,6,13,1174
Magic Realm,Strategy,3.59475,1953,240,1953,Strategy,1979,Strategy,Strategy,1,16,12,1175
Kakerlakenpoker Royal,Party,3.518825,2065,25,2065,Party,2012,Party,Party,2,6,8,1176
Empire Builder,Strategy,3.4718,2802,180,2802,Strategy,1982,Strategy,Strategy,2,6,12,1177
Rallyman: GT,Thematic,3.79364,1343,60,1343,Thematic,2020,Thematic,Thematic,1,6,14,1178
Escape Tales: The Awakening,Thematic,3.65684,1465,300,1465,Thematic,2018,Thematic,Thematic,1,4,12,1179
City of Iron,Strategy,3.60429,1615,120,1615,Strategy,2013,Strategy,Strategy,2,4,13,1180
Call of Cthulhu: The Card Game,Strategy,3.45598,2899,30,2899,Strategy,2008,Strategy,Strategy,2,2,13,1181
Oceanos,Family,3.44692,2731,45,2731,Family,2016,Family,Family,2,5,8,1182
Eight-Minute Empire,Strategy,3.29179,7301,20,7301,Strategy,2012,Strategy,Strategy,2,5,13,1183
Deep Madness,Thematic,4.005535,1355,120,1355,Thematic,2018,Thematic,Thematic,1,6,16,1184
Imagine,Party,3.472705,2604,30,2604,Party,2015,Party,Party,3,8,12,1185
Neanderthal,Thematic,3.707325,1311,120,1311,Thematic,2015,Thematic,Thematic,1,3,14,1186
World in Flames,Uncategorized,3.79888,1316,6000,1316,Uncategorized,1985,Uncategorized,Uncategorized,2,7,12,1187
Disney Villainous: Evil Comes Prepared,Uncategorized,3.900675,1041,60,1041,Uncategorized,2019,Uncategorized,Uncategorized,2,3,10,1188
Stephenson's Rocket,Strategy,3.44455,2538,60,2538,Strategy,1999,Strategy,Strategy,2,4,12,1189
Hellboy: The Board Game,Thematic,4.066875,1043,90,1043,Thematic,2019,Thematic,Thematic,1,4,14,1190
The Civil War 1861-1865,Uncategorized,3.846105,1140,1200,1140,Uncategorized,1983,Uncategorized,Uncategorized,2,2,12,1191
Puzzle Strike (Third Edition),Strategy,3.612385,1694,20,1694,Strategy,2012,Strategy,Strategy,2,4,10,1192
Gloom of Kilforth: A Fantasy Quest Game,Thematic,3.84671,1306,180,1306,Thematic,2017,Thematic,Thematic,1,4,13,1193
Roam,Family,3.764705,1161,45,1161,Family,2019,Family,Family,2,4,8,1194
Tiny Epic Kingdoms,Strategy,3.30918,6768,45,6768,Strategy,2014,Strategy,Strategy,2,5,13,1195
Junta,Strategy,3.349205,5298,240,5298,Strategy,1978,Strategy,Strategy,2,7,16,1196
Space Crusade,Thematic,3.50463,2645,120,2645,Thematic,1990,Thematic,Thematic,2,4,10,1197
Unconditional Surrender! World War 2 in Europe,Uncategorized,4.166625,772,3000,772,Uncategorized,2014,Uncategorized,Uncategorized,2,3,14,1198
Successors (Third/Fourth edition),Uncategorized,3.75711,1169,300,1169,Uncategorized,2008,Uncategorized,Uncategorized,2,4,12,1199
Pioneer Days,Strategy,3.667635,1384,60,1384,Strategy,2017,Strategy,Strategy,2,4,14,1200
Spyfall 2,Party,3.515515,2065,15,2065,Party,2017,Party,Party,3,12,13,1201
Dale of Merchants 2,Strategy,3.66977,1400,30,1400,Strategy,2016,Strategy,Strategy,2,4,10,1202
Ys,Strategy,3.45069,2466,90,2466,Strategy,2004,Strategy,Strategy,2,4,12,1203
Kashgar: Merchants of the Silk Road,Strategy,3.56738,1689,45,1689,Strategy,2013,Strategy,Strategy,2,4,12,1204
Arctic Scavengers,Strategy,3.426125,2855,60,2855,Strategy,2009,Strategy,Strategy,2,5,12,1205
Renegade,Strategy,3.930965,928,90,928,Strategy,2018,Strategy,Strategy,1,5,14,1206
Walnut Grove,Strategy,3.486595,2115,60,2115,Strategy,2011,Strategy,Strategy,1,4,10,1207
Edge of Darkness,Strategy,3.818075,1160,120,1160,Strategy,2019,Strategy,Strategy,1,4,14,1208
Pickomino,Family,3.276405,8637,20,8637,Family,2005,Family,Family,2,7,8,1209
Hab & Gut,Strategy,3.53521,1844,45,1844,Strategy,2008,Strategy,Strategy,3,5,10,1210
DC Comics Dice Masters: Justice League,Uncategorized,3.683965,1331,60,1331,Uncategorized,2015,Uncategorized,Uncategorized,2,2,14,1211
Indigo,Family,3.425565,2778,30,2778,Family,2012,Family,Family,2,4,8,1212
Himalaya,Strategy,3.495655,2087,60,2087,Strategy,2002,Strategy,Strategy,3,4,8,1213
Scotland Yard,Family,3.25374,13715,45,13715,Family,1983,Family,Family,3,6,10,1214
Copenhagen,Family,3.62394,1538,40,1538,Family,2019,Family,Family,2,4,8,1215
Beasty Bar,Family,3.40859,3038,20,3038,Family,2014,Family,Family,2,4,8,1216
The Climbers,Family,3.4307,2651,45,2651,Family,2008,Family,Family,2,5,8,1217
The Ancient World,Strategy,3.53173,1902,90,1902,Strategy,2014,Strategy,Strategy,2,4,13,1218
Calimala,Strategy,3.596875,1569,75,1569,Strategy,2017,Strategy,Strategy,3,5,10,1219
Forge War,Strategy,3.64853,1472,180,1472,Strategy,2015,Strategy,Strategy,1,4,12,1220
On the Underground,Strategy,3.45481,2355,60,2355,Strategy,2006,Strategy,Strategy,2,5,7,1221
Pueblo,Abstract,3.45833,2353,60,2353,Abstract,2002,Abstract,Abstract,2,4,10,1222
The Rose King,Abstract,3.399055,3052,30,3052,Abstract,1992,Abstract,Abstract,2,2,10,1223
Battle Cry: 150th Civil War Anniversary Edition,Uncategorized,3.8095,1110,45,1110,Uncategorized,2010,Uncategorized,Uncategorized,2,2,12,1224
51st State,Strategy,3.420475,2812,90,2812,Strategy,2010,Strategy,Strategy,2,4,10,1225
V-Commandos,Thematic,3.921995,1095,180,1095,Thematic,2016,Thematic,Thematic,1,4,12,1226
BANG!,Party,3.25666,25508,40,25508,Party,2002,Party,Party,4,7,10,1227
"Artifacts, Inc.",Strategy,3.409065,2878,60,2878,Strategy,2014,Strategy,Strategy,2,4,13,1228
Ogre,Uncategorized,3.477345,2621,45,2621,Uncategorized,1977,Uncategorized,Uncategorized,1,3,10,1229
Detective: City of Angels,Thematic,4.00762,815,150,815,Thematic,2019,Thematic,Thematic,1,5,14,1230
Revolution!,Strategy,3.363,4040,60,4040,Strategy,2009,Strategy,Strategy,3,4,13,1231
Dungeons & Dragons Dice Masters: Battle for Faerûn,Uncategorized,3.646145,1414,60,1414,Uncategorized,2015,Uncategorized,Uncategorized,2,2,14,1232
Empires in Arms,Uncategorized,3.79301,1224,12000,1224,Uncategorized,1983,Uncategorized,Uncategorized,2,7,14,1233
Gulo Gulo,Family,3.421975,2733,20,2733,Family,2003,Family,Family,2,6,5,1234
Oregon,Strategy,3.38562,3174,45,3174,Strategy,2007,Strategy,Strategy,2,4,8,1235
Q.E.,Uncategorized,3.7521,1101,45,1101,Uncategorized,2019,Uncategorized,Uncategorized,3,5,8,1236
Pirate's Cove,Family,3.28772,7862,90,7862,Family,2002,Family,Family,3,5,8,1237
Backgammon,Abstract,3.267715,11211,30,11211,Abstract,-3000,Abstract,Abstract,2,2,8,1238
Space Cadets: Dice Duel,Thematic,3.40822,2864,30,2864,Thematic,2013,Thematic,Thematic,4,8,12,1239
Samurai Spirit,Strategy,3.343705,4204,30,4204,Strategy,2014,Strategy,Strategy,1,7,9,1240
Smartphone Inc.,Strategy,3.86,939,90,939,Strategy,2018,Strategy,Strategy,1,5,12,1241
Robo Rally,Strategy,3.54188,2033,120,2033,Strategy,2016,Strategy,Strategy,2,6,12,1242
A House Divided: War Between the States 1861-65,Uncategorized,3.53862,1884,240,1884,Uncategorized,1981,Uncategorized,Uncategorized,2,2,12,1243
Leonardo da Vinci,Strategy,3.382145,3349,90,3349,Strategy,2006,Strategy,Strategy,2,5,12,1244
Pergamon,Strategy,3.458435,2249,45,2249,Strategy,2011,Strategy,Strategy,2,4,10,1245
Risk 2210 A.D.,Uncategorized,3.347225,6593,240,6593,Uncategorized,2001,Uncategorized,Uncategorized,2,5,10,1246
Maximum Apocalypse,Thematic,3.810565,1231,90,1231,Thematic,2018,Thematic,Thematic,1,6,13,1247
Agricola: Family Edition,Strategy,3.584175,1686,45,1686,Strategy,2016,Strategy,Strategy,1,4,8,1248
Krosmaster: Arena,Uncategorized,3.408165,3346,60,3346,Uncategorized,2012,Uncategorized,Uncategorized,2,4,14,1249
Android,Thematic,3.368605,3674,180,3674,Thematic,2008,Thematic,Thematic,3,5,13,1250
Shogi,Abstract,3.681845,1464,60,1464,Abstract,1587,Abstract,Abstract,2,2,8,1251
Ascension: Rise of Vigil,Strategy,3.600625,1581,30,1581,Strategy,2013,Strategy,Strategy,2,4,13,1252
Legendary Encounters: A Firefly Deck Building Game,Thematic,3.591565,1619,90,1619,Thematic,2016,Thematic,Thematic,1,5,14,1253
Mordheim: City of the Damned,Thematic,3.64653,1591,60,1591,Thematic,1999,Thematic,Thematic,2,6,10,1254
PitchCar Mini,Family,3.48144,2045,30,2045,Family,2003,Family,Family,2,8,6,1255
A Study in Emerald (Second Edition),Strategy,3.474045,2219,60,2219,Strategy,2015,Strategy,Strategy,2,5,13,1256
DOOM: The Board Game,Strategy,3.7441,1430,180,1430,Strategy,2016,Strategy,Strategy,2,5,14,1257
The Red Dragon Inn 2,Party,3.45506,2737,45,2737,Party,2008,Party,Party,2,4,13,1258
Circle the Wagons,Family,3.607065,1500,15,1500,Family,2017,Family,Family,2,2,8,1259
